Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Role
Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Oracle Database Administration (DBA)
Professional,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Oracle Database Administration (DBA)
Professional,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Oracle Database Administration (DBA)
Professional,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Oracle Database Administration (DBA)
Professional,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Oracle Database Administration (DBA)
Professional,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Oracle Database Administration (DBA)
Professional,Not Interested,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Oracle Database Administration (DBA)
Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Oracle Database Administration (DBA)
Professional,Beginner,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Oracle Database Administration (DBA)
Professional,Average,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Oracle Database Administration (DBA)
Professional,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Oracle Database Administration (DBA)
Professional,Excellent,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Oracle Database Administration (DBA)
Professional,Not Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Oracle Database Administration (DBA)
Professional,Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Oracle Database Administration (DBA)
Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Oracle Database Administration (DBA)
Professional,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Oracle Database Administration (DBA)
Professional,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Oracle Database Administration (DBA)
Professional,Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Oracle Database Administration (DBA)
Professional,Not Interested,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Oracle Database Administration (DBA)
Professional,Poor,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Oracle Database Administration (DBA)
Professional,Beginner,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Oracle Database Administration (DBA)
Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Oracle Database Administration (DBA)
